sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
D,210100,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,310000,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320500,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320200,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320600,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,360100,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,360400,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,370200,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,440300,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,440400,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,360700,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,450100,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,460100,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,460200,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
