sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
A,320600,2025,29041,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Sum of official Nantong coastal and river rows; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330200,2025,71596,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT;MOT-2025-PORT-CROSSCITY-SPLIT,D_model_proxy,fixed_base_share,"cross_city_split=true; split_method=equal; One-half deterministic split of official Ningbo-Zhoushan combined total 143192 because the national table does not separate the two cities; sensitivity_priority=high; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330900,2025,71596,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT;MOT-2025-PORT-CROSSCITY-SPLIT,D_model_proxy,fixed_base_share,"cross_city_split=true; split_method=equal; One-half deterministic split of official Ningbo-Zhoushan combined total 143192 because the national table does not separate the two cities; sensitivity_priority=high; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330300,2025,10086,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,350100,2025,34542,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,350200,2025,21129,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440500,2025,3656,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440300,2025,33402,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440100,2025,66961,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440400,2025,12091,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440800,2025,26534,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450600,2025,16184.3333333333,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT;MOT-2025-PORT-CROSSCITY-SPLIT,D_model_proxy,fixed_base_share,"cross_city_split=true; split_method=equal; One-third deterministic split of official Beibu Gulf combined total 48553 across Fangchenggang Qinzhou and Beihai; sensitivity_priority=high; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450700,2025,16184.3333333333,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT;MOT-2025-PORT-CROSSCITY-SPLIT,D_model_proxy,fixed_base_share,"cross_city_split=true; split_method=equal; One-third deterministic split of official Beibu Gulf combined total 48553 across Fangchenggang Qinzhou and Beihai; sensitivity_priority=high; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450500,2025,16184.3333333334,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT;MOT-2025-PORT-CROSSCITY-SPLIT,D_model_proxy,fixed_base_share,"cross_city_split=true; split_method=equal; One-third deterministic split of official Beibu Gulf combined total 48553 across Fangchenggang Qinzhou and Beihai; sensitivity_priority=high; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,460100,2025,12648,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,460400,2025,8595,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official Yangpu port row mapped to Danzhou city; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,230100,2025,71,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,230800,2025,64,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,370800,2025,11558,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320100,2025,26969,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,321100,2025,29169,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320500,2025,61262,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320300,2025,6948,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320200,2025,8161,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320800,2025,8202,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330100,2025,9108,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330400,2025,15637,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,330500,2025,15002,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,340500,2025,13679,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,340200,2025,16511,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,340800,2025,2531,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,340100,2025,5707,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,340300,2025,1586,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,360100,2025,3221,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,360400,2025,24128,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,411600,2025,1905,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,420100,2025,14730,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,420200,2025,12491,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,420600,2025,24,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,421000,2025,10118,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,420500,2025,15579,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,430100,2025,2184,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,430600,2025,14344,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,430700,2025,314,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,440600,2025,10585,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,441200,2025,7554,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,441800,2025,2820,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450100,2025,845,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450200,2025,160,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450800,2025,8576,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,450400,2025,13165,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,451300,2025,4684,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,500000,2025,14369,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port municipality row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,510500,2025,1009,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,511500,2025,1037,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
